Zielobjekt,Gefährdung,Eintrittshäufigkeit ohne zusätzliche Maßnahmen,Auswirkung ohne zusätzliche Maßnahmen,Risiko ohne zusätzliche Maßnahmen,Risikobehandlungs-option,Erläuterung zur Risikobehandlung,Eintrittshäufigkeit mit zusätzlichen Maßnahmen,Auswirkung mit zusätzlichen Maßnahmen,Risiko mit zusätzlichen Maßnahmen
GP001 Produktion,G 0.1 Feuer,selten,beträchtlich,mittel,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.2 Ungünstige klimatische Bedingungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.3 Wasser,selten,beträchtlich,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,"G 0.4 Verschmutzung, Staub, Korrosion",mittel,beträchtlich,mittel,Risikoreduktion,Der Wartungsintervall der Maschinen soll verkürzt werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.5 Naturkatastrophen,selten,existenzbedrohend,hoch,Risikoreduktion,"Es soll geprüft werden, ob ein zweiter Produktionsstandort wirtschaftlich sinnvoll ist",selten,beträchtlich,mittel
GP001 Produktion,G 0.6 Katastrophen im Umfeld,selten,existenzbedrohend,hoch,Risikoreduktion,"Es soll geprüft werden, ob ein zweiter Produktionsstandort wirtschaftlich sinnvoll ist",selten,beträchtlich,mittel
GP001 Produktion,G 0.7 Großereignisse im Umfeld,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.8 Ausfall oder Störung der Stromversorgung,mittel,existenzbedrohend,hoch,Risikoreduktion,Es soll eine redundante Stromversorgung geschaffen werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.9 Ausfall oder Störung von Kommunikationsnetzen,mittel,existenzbedrohend,hoch,Risikoreduktion,Es soll ein zweiter Internetprovider beauftragt werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.10 Ausfall oder Störung von Versorgungsnetzen,mittel,existenzbedrohend,hoch,Risikoreduktion,Es soll eine Netzersatzanlage für die Produktions-IT  sowie ein zweiter Internetprovider angeschafft werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.11 Ausfall oder Störung von Dienstleistern,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.12 Elektromagnetische Störstrahlung,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.13 Abfangen kompromittierender Strahlung,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.14 Ausspähen von Informationen (Spionage),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,"G 0.16 Diebstahl von Geräten, Datenträgern oder Dokumenten",selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,"G 0.17 Verlust von Geräten, Datenträgern oder Dokumenten",selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar angesehen.,,,
GP001 Produktion,G 0.18 Fehlplanung oder fehlende Anpassung,mittel,beträchtlich,mittel,Risikoreduktion,Der Wartungsintervall und der Maschinen soll verkürzt werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.19 Offenlegung schützenswerter Informationen,mittel,beträchtlich,mittel,Risikoreduktion,Die Mitarbeiter sollen nochmals bezüglich der Gefahren durch die Offenlegung schützenswerter Informationen sensibilisiert werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.20 Informationen oder Produkte aus unzuverlässiger Quelle,mittel,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.21 Manipulation von Hard- oder Software,mittel,existenzbedrohend,hoch,Risikoreduktion,Das Zutritts- und Zugriffskonzept für die Produktions-IT soll überprüft und stark eingeschränkt werden.,selten,existenzbedrohend,mittel
GP001 Produktion,G 0.22 Manipulation von Informationen,selten,beträchtlich,mittel,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.23 Unbefugtes Eindringen in IT-Systeme,selten,beträchtlich,mittel,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.24 Zerstörung von Geräten oder Datenträgern,mittel,existenzbedrohend,hoch,Risikoreduktion,Die Wartungen der Systeme soll regelmäßiger stattfinden.,selten,existenzbedrohend,mittel
GP001 Produktion,G 0.25 Ausfall von Geräten oder Systemen,mittel,existenzbedrohend,hoch,Risikoreduktion,Die Wartungen der Systeme soll regelmäßiger stattfinden.,selten,existenzbedrohend,mittel
GP001 Produktion,G 0.26 Fehlfunktion von Geräten oder Systemen,mittel,existenzbedrohend,hoch,Risikoreduktion,Die Wartungen der Systeme soll regelmäßiger stattfinden.,selten,existenzbedrohend,mittel
GP001 Produktion,G 0.27 Ressourcenmangel,mittel,beträchtlich,mittel,Risikoreduktion,Es sollen zusätzliche Mitarbeiter ausgebildet werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.28 Software-Schwachstellen oder -Fehler,selten,beträchtlich,mittel,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.29 Verstoß gegen Gesetze oder Regelungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,mittel,beträchtlich,mittel,Risikoreduktion,Es soll eine Zwei-Faktor-Authentifizierung eingerichtet werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,mittel,beträchtlich,mittel,Risikoreduktion,Es soll ein Vier-Augen-Prinzip angewendet werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.32 Missbrauch von Berechtigungen,mittel,beträchtlich,mittel,Risikoreduktion,Es soll eine Zwei-Faktor-Authentifizierung eingerichtet werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.33 Personalausfall,mittel,beträchtlich,mittel,Risikoreduktion,Es sollen zusätzliche Mitarbeiter ausgebildet werden.,selten,beträchtlich,mittel
GP001 Produktion,"G 0.35 Nötigung, Erpressung oder Korruption",selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.36 Identitätsdiebstahl,mittel,beträchtlich,mittel,Risikoreduktion,Es soll eine Zwei-Faktor-Authentifizierung eingerichtet werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.37 Abstreiten von Handlungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.38 Missbrauch personenbezogener Daten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.39 Schadprogramme,mittel,beträchtlich,mittel,Risikoreduktion,Die Mitarbeiter der Produktion sollen intensiver über mögliche Schadprogramme und deren Auswirkungen geschult werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.40 Verhinderung von Diensten (Denial of Service),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.41 Sabotage,mittel,existenzbedrohend,hoch,Risikoreduktion,Die Wartungen der Systeme soll regelmäßiger stattfinden.,selten,existenzbedrohend,mittel
GP001 Produktion,G 0.42 Social Engineering,mittel,beträchtlich,mittel,Risikoreduktion,Es soll eine Zwei-Faktor-Authentifizierung eingerichtet werden.,selten,beträchtlich,mittel
GP001 Produktion,G 0.43 Einspielen von Nachrichten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.44 Unbefugtes Eindringen in Räumlichkeiten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP001 Produktion,G 0.46 Integritätsverlust schützenswerter Informationen,mittel,beträchtlich,mittel,Risikoreduktion,Es soll eine Zwei-Faktor-Authentifizierung eingerichtet werden.,selten,beträchtlich,mittel
GP002 Angebotswesen,G 0.2 Ungünstige klimatische Bedingungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.8 Ausfall oder Störung der Stromversorgung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.9 Ausfall oder Störung von Kommunikationsnetzen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.10 Ausfall oder Störung von Versorgungsnetzen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.11 Ausfall oder Störung von Dienstleistern,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.14 Ausspähen von Informationen (Spionage),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,"G 0.16 Diebstahl von Geräten, Datenträgern oder Dokumenten",selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,"G 0.17 Verlust von Geräten, Datenträgern oder Dokumenten",selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.19 Offenlegung schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.20 Informationen oder Produkte aus unzuverlässiger Quelle,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.21 Manipulation von Hard- oder Software,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.22 Manipulation von Informationen,selten,beträchtlich,mittel,Risikoakzeptanz,Nur berechtigte Administratoren haben Zugriff auf das Datenbanksystem. Diesen Administratoren wird vertraut. Das Restrisiko wird als vertretbar angesehen.,,,
GP002 Angebotswesen,G 0.23 Unbefugtes Eindringen in IT-Systeme,häufig,begrenzt,mittel,Risikoreduktion,Es soll ein Intrusion-Detection-System angeschafft werden.,selten,begrenzt,gering
GP002 Angebotswesen,G 0.24 Zerstörung von Geräten oder Datenträgern,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.25 Ausfall von Geräten oder Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.26 Fehlfunktion von Geräten oder Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.27 Ressourcenmangel,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.28 Software-Schwachstellen oder -Fehler,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.29 Verstoß gegen Gesetze oder Regelungen,mittel,beträchtlich,mittel,Risikoreduktion,Die Mitarbeiter des Angebotswesens werden bezüglich der Einhaltung der geltenden Gesetze und Regelungen sensibilissiert,selten,beträchtlich,mittel
GP002 Angebotswesen,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.32 Missbrauch von Berechtigungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.33 Personalausfall,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.36 Identitätsdiebstahl,selten,vernachlässigbar,gering,Risikoakzeptanz,Ein Identitätsdiebstahl ist nach Meinung der RECPLAST GmbH nicht möglich. Das Restrisiko ist vertretbar.,,,
GP002 Angebotswesen,G 0.37 Abstreiten von Handlungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.38 Missbrauch personenbezogener Daten,mittel,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.39 Schadprogramme,selten,beträchtlich,mittel,Risikoreduktion,"Die technischen Maßnahmen zur Risikominimierung für die beteiligten Prozesse des Angebotswesen werden als hinreichend erachtet. Da sich aber diese Gefährdungen insbesondere auch aufgrund von Leichtfertigkeit oder anderen Fehlern der Benutzer ergeben, ist eine grundsätzliche Sensibilisierungsmaßnahme zu den Gefahren durch Schadsoftware, Phishing, Social Engineering etc. geplant. ",selten,beträchtlich,mittel
GP002 Angebotswesen,G 0.40 Verhinderung von Diensten (Denial of Service),mittel,beträchtlich,mittel,Risikoreduktion,Die benötigten Systeme sollen als virtuelle Maschinen betrieben werden. Dadurch ist ein Ausfall von Diensten oder Geräten einfacher und schneller zu beheben.,selten,beträchtlich,mittel
GP002 Angebotswesen,G 0.42 Social Engineering,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
GP002 Angebotswesen,G 0.43 Einspielen von Nachrichten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
GP002 Angebotswesen,G 0.44 Unbefugtes Eindringen in Räumlichkeiten,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
GP002 Angebotswesen,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Das Backupverfahren wird als ausreichend bewertet. Das Restrisiko wird für vertretbar erachtet.,,,
GP002 Angebotswesen,G 0.46 Integritätsverlust schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
